MASS_EXTRAP,MASS_ERROR
360092.5,100585.328125
520319.6875,147356.53125
1141872.375,353772.25
751444.0,239767.8125
2337254.0,667619.375
737349.5,228212.46875
575856.0625,212214.65625
1062819.0,318368.3125
2457906.75,502897.0
2014963.5,303451.125
515006.3125,161203.15625
584054.5,171069.59375
198027.953125,63005.25
820739.4375,251306.1875
616965.0625,110299.46875
560710.1875,117526.84375
2468285.75,604422.0
352230.25,96191.5
277242.4375,82496.859375
150736.671875,41303.1328125
373032.6875,107532.6875
183907.90625,63405.0390625
1206998.5,115668.0
297484.9375,108312.796875
5391620.0,597155.5
176993.25,57995.59375
1098166.25,303770.3125
1122336.125,374596.125
348744.125,91652.828125
9370117.0,1111815.5
2338097.25,639794.375
934294.3125,239750.9375
6273669.5,1306143.0
2257278.75,510302.125
761980.5625,243611.875
148892.96875,56760.3359375
3398067.5,692044.75
146574.09375,43446.34375
617153.6875,96746.0
182006.734375,42950.34375
1228226.25,197990.1875
541804.625,153212.90625
468070.0625,170471.0
408489.3125,99266.28125
367200.53125,99785.28125
699158.5625,253595.34375
562271.6875,165951.375
12373509.0,1687362.0
3677818.5,293585.25
535570.4375,163442.8125
249775.25,94595.34375
248122.390625,92233.234375
678744.4375,163154.8125
577265.8125,156799.5625
191404.78125,37693.1875
102424.984375,33136.09375
984270.75,267871.3125
1253074.375,315668.3125
295909.96875,77320.734375
104799.3515625,29429.0546875
1323801.25,301750.6875
278082.375,93168.5
1653652.375,266619.75
154295.890625,38427.6484375
1373592.625,258552.0
982721.5,145028.375
402565.0,128703.15625
1125457.125,278438.625
686599.6875,175908.5
78584.609375,12899.296875
1002926.875,205004.5
540969.5625,205552.5625
1141059.25,221297.5625
835500.125,106170.1875
643034.1875,64297.125
1145300.375,282289.875
4888185.0,1539892.0
25151426.0,2311116.0
960192.75,332012.4375
159870.625,64342.1484375
396848.78125,110901.5
2487419.75,735912.375
1146963.0,182287.3125
668660.375,220643.5
850667.4375,270335.75
552407.5,131835.5625
908490.5625,244679.75
1200403.125,244489.5625
128879.34375,36684.1796875
1280888.125,357605.5
1445587.75,502792.5
157834.9375,36753.640625
519535.75,129934.75
992113.4375,184539.875
485880.25,119222.34375
449418.09375,97389.15625
298671.0625,118477.515625
1183030.375,256026.75
882649.25,298286.6875
1769888.375,489064.25
3569835.5,608095.0
1744041.25,480146.5
567146.625,235797.625
11254714.0,443412.0
6888857.5,145847.0
11227409.0,1177618.0
1381337.0,387346.8125
198721.828125,74435.9765625
3882504.0,590472.75
